username,car_id,price,vin,branch_office_id,buyer_first_name,buyer_last_name,buyer_id
lpailin0,ef6e8137-bc35-42c7-ae63-0fe3af539b50,9666.7,1dbe3dea-6bdd-48e0-855a-8c72d4af93be,13,Lindsay,Pailin,cb760e13-46a6-47d1-a414-26bef802cba2
amacari1,1d1b4b10-40a5-44bb-88bd-b99bcc59d10f,29580.36,d41fca32-d3f7-48d3-8633-5cee0cd3f1ba,15,Astrix,Macari,4acd8973-dafd-46eb-a299-86c07580e00b
mpenwarden2,226db104-f043-4870-a371-4f3b96c8e259,14172.83,7e94e909-6433-4ebf-80cb-d03b85234f4b,17,Marlowe,Penwarden,adcfc904-9554-408a-9009-49e98e5e6767
whuddart3,8179ccf2-e6db-4b81-884f-babab2639023,21058.35,1f319e8d-520d-49be-ae94-2e5079d20103,5,Wandis,Huddart,6a3bed00-93c4-4df2-b10b-410ff5663f69
rboltwood4,51934e9b-b279-49d8-8e58-935a9962910e,7117.63,39035bc6-de2e-48c0-8dbd-639855cfef2a,9,Ryan,Boltwood,ac387042-dd6d-4d58-94e2-ab2012000d81
rtrapp5,dc94ddd9-4e91-4cd6-8b95-287898f4a5f5,9775.42,41941b49-2e90-4ac0-bbd7-4f8561d46077,10,Roddie,Trapp,d70c772a-6ee9-45e9-944f-8f121e03f28d
hdrewery6,748a0cf1-2711-4ac6-95f0-c745cb9851fd,16305.47,16cfeea4-f8c0-417c-9bb7-53b6f48aece2,18,Hunfredo,Drewery,a58244e0-3860-494a-a631-4fe2f7eb2242
wbeeze7,c722f3a8-ecfe-4f80-b63f-c1b133278188,18597.59,b6223c56-74dc-4710-a72e-05cd6a5a6e56,19,Wynny,Beeze,94b30954-e471-440f-b428-a2c37294ce6f
lalfonsini8,c5f9756d-babb-409d-a440-a10c74ff8da5,28172.75,29941aac-64b0-4077-8239-815d68190261,8,Lotty,Alfonsini,2d2fb421-cb20-448d-8c2b-648865e1d37b
mtanzig9,bcd7f9bd-072d-4dc4-8a0d-dcb60bee997c,26332.09,10eba44f-d5e1-4bf2-ab23-ee0a59aa19bf,12,Mendel,Tanzig,32e200f7-50b9-4e9b-86cc-37b89f1c2488
mgorettia,08b47f5b-d4ed-46bd-a684-dfa18c3e86db,29659.69,5bc75e41-f94d-4085-8232-536f64893595,7,Mirella,Goretti,1af7ddbf-f39c-45c4-a50a-c3bfb6d10c6b
flowdyaneb,0cbc6f8e-8178-4433-ac35-a5100db9a194,18020.82,af5f6620-d566-4a00-9849-470c37018f70,7,Fredia,Lowdyane,c0115d7a-4861-4ead-b398-7d7f9fc47c4a
qangelic,af058d72-4eab-410c-b7b1-17d9ce99516e,7740.67,e98770cc-6ad2-4b42-a067-e00de1141d0b,11,Quintus,Angeli,7ff525a3-8d55-4871-9db3-138d98480cd8
dclaeskensd,f2550083-597c-4709-9311-57e8078c9e2e,26316.09,bc909212-2e04-49da-82fc-f1ea3183f59d,10,Darb,Claeskens,2f2fb5db-d5e9-4634-adf3-a4f51517c750
cattacke,0bce103d-a680-4977-b2dc-1164a0546831,23097.5,2e001748-bf37-4f0a-8d95-aca06f053a81,5,Catarina,Attack,a23e44ea-a10a-4fe5-820b-8d8e6ca2bc08
ntuffellf,dfd925b8-a2b9-41d1-a274-6e68fceaff73,14025.56,70454467-734b-497c-9f4c-27efb46bb57b,2,Nicolina,Tuffell,9d099717-b5da-4f3b-bed2-eeb622766b2f
ubwyeg,c7c56391-96e9-4bfd-a043-248f772008f4,24022.69,b0a1d0a7-66f7-41bf-8b64-be79a741c87b,15,Ulla,Bwye,ef1192dd-313d-4a74-9250-ae984f62739c
hsnookh,e5cc386f-91df-41d8-9027-0f492e14f2e6,17203.43,88ac3f36-5ddd-4258-bb83-872c8b0734c7,19,Hardy,Snook,167e2756-5fe9-4c62-bb5a-88cf428b6c27
sfreelandi,d0cd6c89-8927-4916-be86-83fc91da6e88,24644.57,d57da85a-9f40-43fc-95dc-b281376e03ed,18,Shela,Freeland,a5cea7a7-913f-451d-bc51-7c6c5d5fc1e9
lrobardj,e1524237-55ee-4d0c-820d-d2e889b5dea0,23224.3,dfa69ff4-51c7-4505-8a2b-8dc86a0577dc,10,Lonee,Robard,7f6036f1-f49c-4ae2-b9d3-21265a7846b0
mbauldryk,7eb695ef-1fbc-458c-8e69-d4bb25a6b735,29747.86,d5490bb6-27e2-46c8-8d45-cb5a209337e8,1,Myrah,Bauldry,ceaf3d2f-acdb-4152-ac35-8e7a39c0913d
gshoutel,e1cf7281-9668-4783-8355-df6f676e793f,13774.69,8219d069-4eea-49da-98b6-865e4fa67528,2,Georg,Shoute,6bd1217f-a9b9-4152-8821-fa71bcf88287
mcaccavarim,5640e398-7e0e-4b2a-af1f-767eebdcbb06,7650.13,b88ad6b0-a6f7-420a-ad70-58ec8cc4ece5,15,Mariellen,Caccavari,ef05c675-485e-4d24-87d8-47282672101e
tfowelln,0a7a2a13-f7d7-434e-84ca-cb3efd491bce,17966.03,28b532a5-c352-47f3-8d05-2ec8456b32bc,3,Tasia,Fowell,ae625579-b50d-4e6d-8de2-bf3b40a8254b
mmograo,f13f2495-f128-4d9d-9889-63c99f048261,27497.99,19dd8f94-2c2a-44c4-bd88-6264d02ed810,3,Mei,Mogra,107264fc-3e96-4be5-92b4-9b70e777b964
thadwickp,7e610151-1de3-47b5-9631-6306a2ed9927,18497.06,6d6aea80-df98-44d4-899b-ea5bd864e575,12,Theadora,Hadwick,b98501cc-09f2-4e66-8024-f9f70b47f0bb
